故意伤害 。殴打，投掷，身体，轻微伤，轻伤，重伤，死亡，故意，预谋
拐骗儿童 。拐骗，儿童，家庭，监护人，欺骗，引诱，偷盗，婴儿，幼儿
持有伪造的发票 。持有，伪造，发票，明知，非法，假，发票，购买
非法处置查封、扣押、冻结的财产 。非法，处置，查封，扣押，冻结，财产，隐藏，转移，变卖
聚众扰乱公共场所秩序、交通秩序 。聚众，扰乱，公共场所，秩序，纠缠，聚集，秩序，阻碍，管理
编造、故意传播虚假恐怖信息 。编造，故意，传播，虚假，恐怖，信息，扰乱，秩序，恐怖
非法出售发票 。非法，出售，真，发票，牟利，违规，擅自
对非国家工作人员行贿 。谋取，利益，企业，财物，违规，贿赂，回扣
诬告陷害 。捏造，诬告，陷害，他人，追究，虚假，伪造，证据
假冒注册商标 。未经，许可，商品，注册商标，假冒，非法经营，伪造，销售
重婚 。配偶，重婚，同居，夫妻，名义，破坏，伪造，明知
出售、购买、运输假币 。购买，伪造，货币，明知，假币，牟利，运输，出售
非法买卖制毒物品 。非法，买卖，物品，原料，违规，制毒，化学品，明知
集资诈骗 。非法，占有，集资，诈骗，虚假，回报，集资款，挥霍，逃匿
走私普通货物、物品 。走私，货物，偷逃，应缴，运输，国境，逃避，监管
持有、使用假币 。持有，使用，伪造，货币，明知，假币，购物，支付，兑换
破坏易燃易爆设备 。破坏，易燃，易爆，设备，燃气，石油，管道，储罐，危害
伪造、变造金融票证 。伪造，变造，金融，票证，汇票，本票，支票，凭证，存单
妨害信用卡管理 。妨害，信用卡，管理，持有，阻碍，伪造，骗领，出售，身份证
破坏电力设备 。破坏，电力，设备，危害，公共，线路，变压器，盗窃，剪断
绑架 。绑架，人质，勒索，财物，劫持，控制，伤害，胁迫，赎金
伪造公司、企业、事业单位、人民团体印章 。伪造，公司，企业，单位，印章，伪造，私刻，公章，假章
介绍贿赂 。介绍，贿赂，国家工作人员，介绍，行贿，受贿，撮合，传递
遗弃 。遗弃，扶养，义务，年老，年幼，患病，拒绝，抛弃
制作、复制、出版、贩卖、传播淫秽物品牟利 。制作，复制，出版，贩卖，传播，牟利，淫秽，影片
伪造、变造居民身份证 。伪造，变造，居民身份证，假证，购买，出售，虚假，材料，骗取
非国家工作人员受贿 。人员，职务，便利，索取，收受，财物，谋取，利益，回扣
非法收购、运输、加工、出售国家重点保护植物、国家重点保护植物制品 。非法，收购，运输，加工，出售，植物，制品，明知
强制猥亵、侮辱妇女 。暴力，胁迫，强制，猥亵，侮辱，妇女，恶劣，公共场所，伤害
非法采伐、毁坏国家重点保护植物 。非法，采伐，毁坏，植物，树木，红豆杉，毁坏，挖掘，移植
猥亵儿童 。猥亵，儿童，性侵，抚摸，亲吻，伤害，身心健康
非法狩猎 。违规，禁猎，禁猎期，禁用，狩猎，破坏，野生，动物，禁猎区
强迫交易 。暴力，威胁，商品，强迫，恐吓，交易
串通投标 。轮流，中标，泄露，定向，招标，私下，损失，利益，串通
虚报注册资本 。虚报，注册，资本，虚假，伪造，欺诈，骗取，许可
受贿 。谋取，利益，财物，违规，贿赂，回扣，国家工作人员，分红
妨害作证 。威胁，引诱，贿赂，暴力，伪造，证据，妨害，作证
容留他人吸毒 。容留，组织，吸食，吸入，毒品，海洛因，冰毒，包庇，窝藏
单位受贿 。单位，国家工作人员，受贿，公司，企业，贿赂，分红
行贿 。行贿，谋取，利益，给予，财物，回扣，损失
对单位行贿 。给予，机关，企业，单位，回扣，行贿，贿赂
侵占 。侵占，管理，故意，变卖，非法，占有，物品，财产
脱逃 。脱逃，越狱，组织，逃离，监管，逃避，羁押，刑罚
动植物检疫徇私舞弊 。渎职，徇私，舞弊，动植物，检疫，隐瞒，疫情，滥用，职权
帮助犯罪分子逃避处罚 。协助，犯罪分子，逃避，处罚，隐瞒，泄露，隐匿
徇私枉法 。徇私，国家工作人员，伪造，证据，隐瞒，包庇，故意
走私珍贵动物、珍贵动物制品 。走私，珍贵，动物，制品，运输，携带，邮寄，藏匿，收购
